Title,Color,Price,Rating,Offer
Apple iPhone 7 Plus,PRODUCT) (Red,85400,5.0,7.0
Apple iPhone XS,Silver,89900,4.7,7.0
Apple iPhone XS,Space Grey,89900,4.7,5.0
Apple iPhone 6s,Space Grey,82000,4.5,4.0
Apple iPhone XS Max,Gold,144900,4.6,4.0
Apple iPhone 7,Black,74400,4.5,15.0
Apple iPhone 7 Plus,Black,85400,4.5,0.0
Apple iPhone 11 Pro,Silver,121300,4.6,0.0
Apple iPhone 12 Pro Max,Silver,119900,4.5,0.0
Apple iPhone 13 Pro,Alpine Green,129900,4.7,0.0
Apple iPhone 11 Pro Max,Space Grey,150800,4.7,0.0
Apple iPhone 11 Pro Max,Gold,117100,4.7,0.0
Apple iPhone 14 Pro Max,Gold,127999,4.6,0.0
Apple iPhone 11 Pro,Midnight Green,106600,4.6,0.0
Apple iPhone 13 Pro,Gold,119900,4.7,0.0
Apple iPhone 14 Pro Max,Deep Purple,157999,4.6,0.0
Apple iPhone 13 Pro Max,Gold,129900,4.6,0.0
Apple iPhone 14 Pro Max,Gold,157999,4.6,0.0
Apple iPhone 14 Plus,Blue,75999,4.6,0.0
Apple iPhone 14 Pro,Silver,129900,4.6,0.0
Apple iPhone 14 Pro,Gold,119900,4.6,0.0
Apple iPhone 14 Pro,Deep Purple,129900,4.6,0.0
Apple iPhone 11 Pro Max,Midnight Green,150800,4.7,0.0
Apple iPhone 14 Pro Max,Gold,177999,4.6,3.0
Apple iPhone 6s Plus,Silver,70000,4.4,4.0
Apple iPhone 13 Pro Max,Alpine Green,129900,4.6,4.0
Apple iPhone 14 Pro Max,Silver,157999,4.6,4.0
Apple iPhone XS Max,Gold,109900,4.6,12.0
Apple iPhone 7,Black,31500,4.5,9.0
Apple iPhone 11 Pro Max,Gold,131900,4.7,9.0
Apple iPhone 14 Pro Max,Deep Purple,137999,4.6,5.0
Apple iPhone XS,Silver,134900,4.7,9.0
Apple iPhone SE,Black,39900,4.5,12.0
Apple iPhone 14 Pro Max,Silver,137999,4.6,0.0
Apple iPhone 14 Plus,Starlight,95999,4.6,0.0
Apple iPhone 13,Blue,62999,4.7,0.0
Apple iPhone 13,Pink,62999,4.7,0.0
Apple iPhone 14 Pro,Space Black,119900,4.6,0.0
Apple iPhone 7 Plus,Black,37900,4.5,0.0
Apple iPhone 14 Pro Max,Silver,127999,4.6,0.0
Apple iPhone 13,Starlight,62999,4.7,0.0
Apple iPhone 13 mini,Midnight,64900,4.5,0.0
